id,scene,category,name,x,y,z,quest_names,quest_roles,container_id,active_self,active_in_hierarchy,juice_flavour,juice_number,object_name,hierarchy,component_type,component_path_id,source_file,notes
level6:192687,Autumn,Chest,SM_Prop_Chest_Wood_01 (45),-30.315001,0.043,41.841,,,,True,True,,,SM_Prop_Chest_Wood_01 (45),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (45),ChestOpen,192687,level6,
level6:192703,Autumn,Quest pickup,can-beans-open (1),-799.693542,3.068777,-192.674652,Crockery Collection!,pickup,,True,True,,,can-beans-open (1),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/can-beans-open (1),CollectableQuestItem,192703,level6,
level6:192722,Autumn,Chest,SM_Prop_Chest_Wood_01 (20),-843.372986,0.01,-339.321991,,,,False,False,,,SM_Prop_Chest_Wood_01 (20),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (20),ChestOpen,192722,level6,
level6:192752,Autumn,Chest,SM_Prop_Chest_Wood_01 (25),-573.013977,16.872999,240.171005,,,,True,True,,,SM_Prop_Chest_Wood_01 (25),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (25),ChestOpen,192752,level6,
level6:192809,Autumn,Chest,SM_Prop_Chest_Wood_01 (32),-37.834,63.416,358.175995,,,,True,True,,,SM_Prop_Chest_Wood_01 (32),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (32),ChestOpen,192809,level6,
level6:192822,Autumn,Quest pickup,plate-enamel (5),-788.262817,3.2148,-186.915207,Crockery Collection!,pickup,,True,True,,,plate-enamel (5),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (5),CollectableQuestItem,192822,level6,
level6:192839,Autumn,Quest pickup,plate-enamel (8),-785.619995,3.2148,-185.110001,Crockery Collection!,pickup,,True,True,,,plate-enamel (8),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (8),CollectableQuestItem,192839,level6,
level6:192878,Autumn,Chest,SM_Prop_Chest_Wood_01 (19),-826.491028,1.964,-433.186554,,,,True,True,,,SM_Prop_Chest_Wood_01 (19),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (19),ChestOpen,192878,level6,
level6:192960,Autumn,NPC,ByStander1,-242.728771,2.4094,477.857417,,,,False,False,,,ByStander1,Frog Folder/Misc/Drifting Tractors/ByStander1,NpcBase,192960,level6,
level6:192998,Autumn,Chest,SM_Prop_Chest_Wood_01 (16),-141.552002,40.102001,-296.868988,,,,True,True,,,SM_Prop_Chest_Wood_01 (16),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (16),ChestOpen,192998,level6,
level6:193016,Autumn,NPC,Sitting Frog,-203.234359,3.320888,45.70254,,,,False,False,,,Sitting Frog,Environment/Nature/Water/Water/Ponds/Sitting Frog,NpcBase,193016,level6,
level6:193035,Autumn,Chest,SM_Prop_Chest_Wood_01 (35),-821.528992,217.856995,-310.494995,,,,True,True,,,SM_Prop_Chest_Wood_01 (35),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (35),ChestOpen,193035,level6,
level6:193067,Autumn,NPC,ScaredFrog1,-148.387699,60.055363,-255.967643,,,,False,False,,,ScaredFrog1,Frog Folder/Misc/Spooky Area/ScaredFrog1,NpcBase,193067,level6,
level6:193082,Autumn,Polaroid,PolaroidCollectable 1,-833.309967,74.953506,-112.109619,,,,True,True,,,PolaroidCollectable 1,PhotoStuff/Collectables/PolaroidCollectable 1,CollectablePolaroid,193082,level6,
level6:193182,Autumn,Quest pickup,cup-small (5),-786.609985,3.151,-185.949005,Crockery Collection!,pickup,,True,True,,,cup-small (5),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/cup-small (5),CollectableQuestItem,193182,level6,
level6:193251,Autumn,Chest,SM_Prop_Chest_Wood_01 (11),-263.247009,16.548,413.584991,,,,True,True,,,SM_Prop_Chest_Wood_01 (11),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (11),ChestOpen,193251,level6,
level6:193348,Autumn,Quest pickup,plate-enamel,-799.950928,3.108486,-189.884186,Crockery Collection!,pickup,,True,True,,,plate-enamel,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel,CollectableQuestItem,193348,level6,
level6:193369,Autumn,Quest pickup,teapot (1),-793.900024,3.094,-190.505997,Crockery Collection!,pickup,,True,True,,,teapot (1),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/teapot (1),CollectableQuestItem,193369,level6,
level6:193371,Autumn,Chest,SM_Prop_Chest_Wood_01 (22),-900.02002,0.94,220.389999,,,,True,True,,,SM_Prop_Chest_Wood_01 (22),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (22),ChestOpen,193371,level6,
level6:193426,Autumn,Quest pickup,water-bottles-pack (2),-787.305054,3.098,-187.770004,Crockery Collection!,pickup,,True,True,,,water-bottles-pack (2),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/water-bottles-pack (2),CollectableQuestItem,193426,level6,
level6:193434,Autumn,Chest,SM_Prop_Chest_Wood_01 (18),-455.091003,2.883,-402.359009,,,,True,True,,,SM_Prop_Chest_Wood_01 (18),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (18),ChestOpen,193434,level6,
level6:193463,Autumn,Quest pickup,coffee-cup,-799.299988,3.067,-192.600006,Crockery Collection!,pickup,,True,True,,,coffee-cup,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/coffee-cup,CollectableQuestItem,193463,level6,
level6:193571,Autumn,Chest,SM_Prop_Chest_Wood_01 (44),-262.600006,4.17,205.679993,,,,True,True,,,SM_Prop_Chest_Wood_01 (44),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (44),ChestOpen,193571,level6,
level6:193585,Autumn,Quest pickup,can-beans-open,-787.5,3.135,-186.639999,Crockery Collection!,pickup,,True,True,,,can-beans-open,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/can-beans-open,CollectableQuestItem,193585,level6,
level6:193599,Autumn,Chest,SM_Prop_Chest_Wood_01 (1),-622.945984,177.600998,181.667007,,,,True,True,,,SM_Prop_Chest_Wood_01 (1),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (1),ChestOpen,193599,level6,
level6:193609,Autumn,Chest,SM_Prop_Chest_Wood_01 (12),-24.729,0.219,517.744995,,,,True,True,,,SM_Prop_Chest_Wood_01 (12),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (12),ChestOpen,193609,level6,
level6:193636,Autumn,Quest pickup,apple,-799.900024,3.05,-191.080734,Crockery Collection!,pickup,,True,True,,,apple,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/apple,CollectableQuestItem,193636,level6,
level6:193712,Autumn,Chest,SM_Prop_Chest_Wood_01 (43),-627.821411,59.939999,466.806152,,,,True,True,,,SM_Prop_Chest_Wood_01 (43),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (43),ChestOpen,193712,level6,
